sentence,difficulty,num_chars,num_words,avg_word_length,num_stopwords,ratio_num_words_over_stopwords,PRON,AUX,ADP,SCONJ,PUNCT,num_words_before_first_verb,VERB,ADJ,ADV,,NOUN,DET,CCONJ,PER,PART,INTJ,MISC,PROPN,LOC,ORG,NUM,X,Text_english_translation,hamming,hamming_normalized_similarity,levenshtein,levenshtein_normalized_similarity,jaro_winkler,jaccard,sorensen
C'est pour quand ?,A1,18,4,3.75,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It&#39;s for when ?,19.0,0.0,14.0,0.26315789473684215,0.6208576998050682,0.14285714285714285,0.25
Je pense que c'est bon.,A1,23,5,3.8,1.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I think this is good.,21.0,0.08695652173913049,18.0,0.21739130434782605,0.5703243616287095,0.0,0.0
C'est pas mal.,A1,14,3,4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not bad.,14.0,0.0,10.0,0.2857142857142857,0.5952380952380952,0.0,0.0
Qu'est-ce que vous faites ?,A1,27,5,4.6,2.0,2.5,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What are you doing ?,25.0,0.07407407407407407,17.0,0.37037037037037035,0.5567901234567901,0.1111111111111111,0.2
C'est bien !,A1,12,3,3.3333333333333335,0.0,inf,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It&#39;s good !,15.0,0.0,12.0,0.19999999999999996,0.5166666666666667,0.2,0.3333333333333333
Ce n'est pas juste.,A1,19,4,4.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It is not fair.,18.0,0.052631578947368474,14.0,0.26315789473684215,0.5801169590643275,0.0,0.0
Je ne veux pas.,A1,15,4,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I do not want.,15.0,0.0,11.0,0.2666666666666667,0.5539682539682539,0.0,0.0
Je ne sais pas.,A1,15,4,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I do not know.,15.0,0.0,12.0,0.19999999999999996,0.49682539682539684,0.0,0.0
Plus que ça.,A1,12,3,3.3333333333333335,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,More than that.,14.0,0.06666666666666665,11.0,0.2666666666666667,0.45,0.0,0.0
"Non, je ne le trouve pas !",A1,26,7,2.857142857142857,4.0,1.75,2.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No, I can&#39;t find it!",21.0,0.1923076923076923,19.0,0.2692307692307693,0.5362276612276612,0.0,0.0
Qu'est-ce que ça veut dire ?,A1,28,6,3.8333333333333335,1.0,6.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What does it mean ?,26.0,0.0714285714285714,20.0,0.2857142857142857,0.5756056808688387,0.1,0.18181818181818182
C'est déjà ça.,A1,14,3,4.0,0.0,inf,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It&#39;s already that.,22.0,0.0,18.0,0.18181818181818177,0.5200216450216449,0.0,0.0
Je m'en vais.,A1,13,3,3.6666666666666665,0.0,inf,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I am leaving.,10.0,0.23076923076923073,10.0,0.23076923076923073,0.6837606837606837,0.0,0.0
