Text,Difficulty,Text_english_translation,hamming,hamming_normalized_similarity,levenshtein,levenshtein_normalized_similarity,jaro_winkler,jaccard,sorensen
Je recherche une personne pour garder mes enfants de 1 et 7 ans.,A1,I am looking for a person to look after my children of 1 and 7 years old.,68,0.06849315068493156,48,0.34246575342465757,0.6250396372399797,0.07142857142857142,0.13333333333333333
"Il faut être disponible pour travailler les jeudis, vendredis et samedis soirs après 17 heures.",A1,"You must be available to work Thursday, Friday and Saturday evenings after 5 p.m.",91,0.04210526315789476,71,0.25263157894736843,0.6475560107634645,0.0,0.0
Vous devez habiter dans le centre de Limoges ou avoir une voiture.,A1,You must live in the center of Limoges or have a car.,62,0.06060606060606055,35,0.4696969696969697,0.7027908287137162,0.043478260869565216,0.08333333333333333
Expérience avec les enfants souhaitée.,A1,Experience with children desired.,27,0.2894736842105263,23,0.39473684210526316,0.6751727804359383,0.0,0.0
"Si vous êtes intéressé, appelez-moi.",A1,"If you are interested, give me a call.",34,0.10526315789473684,23,0.39473684210526316,0.5785043416622364,0.0,0.0
"Pour aller à la salle internet à partir de l’escalier, marchez jusqu’à l’accueil",A1,"To go to the internet room from the stairs, walk to the reception",76,0.050000000000000044,54,0.32499999999999996,0.5857259988073942,0.04,0.07692307692307693
Tournez à gauche.,A1,Turn left.,16,0.05882352941176472,11,0.3529411764705882,0.6563025210084034,0.0,0.0
"La salle internet est la deuxième salle après les toilettes, à gauche.",A1,The internet room is the second room after the toilet on the left.,62,0.11428571428571432,46,0.34285714285714286,0.6287157287157287,0.041666666666666664,0.08
Le club de football de Briançon recherche un joueur (15-17 ans) du 1er septembre au 30 février.,A1,The Briançon football club is looking for a player (15-17 years old) from September 1 to February 30.,96,0.04950495049504955,63,0.37623762376237624,0.692904869434312,0.12903225806451613,0.22857142857142856
Qui propose un travail de serveur ?,A1,Who offers a waiter job?,33,0.05714285714285716,26,0.2571428571428571,0.582936507936508,0.0,0.0
Le docteur offre un travail pour combien de temps ?,A1,The doctor offers a job for how long?,43,0.1568627450980392,31,0.3921568627450981,0.6605791311673664,0.0,0.0
Que faire à Paris ?,A1,What to do in Paris?,20,0.0,12,0.4,0.6327485380116958,0.0,0.0
"S’il fait beau, l’après-midi vous pouvez aller au jardin du Luxembourg et, le soir vous pouvez faire un tour en bateau jusqu’à la Tour Eiffel.",A1,"If the weather is nice, in the afternoon you can go to the Luxembourg Gardens and in the evening you can take a boat trip to the Eiffel Tower.",135,0.04929577464788737,106,0.2535211267605634,0.6444024974589807,0.018867924528301886,0.037037037037037035
"Au restaurant Paris Musical, près des Champs Elysées, vous pouvez voir des spectacles et manger pour 21 €.",A1,"At the Paris Musical restaurant, near the Champs Elysées, you can see shows and eat for € 21.",99,0.06603773584905659,64,0.39622641509433965,0.7572022722661798,0.09090909090909091,0.16666666666666666
