Text,Difficulty,Text_english_translation
Je recherche une personne pour garder mes enfants de 1 et 7 ans.,A1,I am looking for a person to look after my children of 1 and 7 years old.
"Il faut être disponible pour travailler les jeudis, vendredis et samedis soirs après 17 heures.",A1,"You must be available to work Thursday, Friday and Saturday evenings after 5 p.m."
Vous devez habiter dans le centre de Limoges ou avoir une voiture.,A1,You must live in the center of Limoges or have a car.
Expérience avec les enfants souhaitée.,A1,Experience with children desired.
"Si vous êtes intéressé, appelez-moi.",A1,"If you are interested, give me a call."
"Pour aller à la salle internet à partir de l’escalier, marchez jusqu’à l’accueil",A1,"To go to the internet room from the stairs, walk to the reception"
Tournez à gauche.,A1,Turn left.
"La salle internet est la deuxième salle après les toilettes, à gauche.",A1,The internet room is the second room after the toilet on the left.
Le club de football de Briançon recherche un joueur (15-17 ans) du 1er septembre au 30 février.,A1,The Briançon football club is looking for a player (15-17 years old) from September 1 to February 30.
Qui propose un travail de serveur ?,A1,Who offers a waiter job?
Le docteur offre un travail pour combien de temps ?,A1,The doctor offers a job for how long?
Que faire à Paris ?,A1,What to do in Paris?
"S’il fait beau, l’après-midi vous pouvez aller au jardin du Luxembourg et, le soir vous pouvez faire un tour en bateau jusqu’à la Tour Eiffel.",A1,"If the weather is nice, in the afternoon you can go to the Luxembourg Gardens and in the evening you can take a boat trip to the Eiffel Tower."
"Au restaurant Paris Musical, près des Champs Elysées, vous pouvez voir des spectacles et manger pour 21 €.",A1,"At the Paris Musical restaurant, near the Champs Elysées, you can see shows and eat for € 21."
Réservez vos billets dans le bureau 127 de l’université du lundi au vendredi (10 h - 18 h).,A1,Reserve your tickets in the university&#39;s office 127 from Monday to Friday (10 a.m. - 6 p.m.).
"Coucou mes amis, je réunis tous ceux que j’aime bien pour fêter l’arrivée de l’été le 21 juin",A1,"Hello my friends, I am bringing together all those I like to celebrate the arrival of summer on June 21"
j’espère vous avoir près de moi pour une jolie fête.,A1,I hope to have you near me for a nice party.
Je propose que tout le monde apporte quelque chose à manger.,A1,I suggest that everyone bring something to eat.
On va manger dans le jardin.,A1,We&#39;re going to eat in the garden.
