Text,Difficulty
"""J’ai préparé le repas, il est dans la cuisine.""",A1
"""Comment ça va ?""",A1
"""Il faut être disponible pour travailler les jeudis, vendredis et samedis soirs après 17 heures.""",A1
"""Ne te couche pas trop tard, tu vas à l’école demain.""",A1
"""Colle les formes en papier sur le pot de yaourt.""",A1
"""Pour le dessert il y a de la mousse au chocolat.""",A1
"""Bonjour !""",A1
"""Lave bien le pot de yaourt, il doit être propre!""",A1
"""Ne m’attends pas.""",A1
"""Je suis encore au bureau, je vais rentrer plus tard.""",A1
"""Vous êtes musicien ?""",A1
"""Avec la peinture, faits des dessins sur le pot.""",A1
"""L’école organise un festival de musique le 21 juin prochain.""",A1
"""S’il fait beau, l’après-midi vous pouvez aller au jardin du Luxembourg et, le soir vous pouvez faire un tour en bateau jusqu’à la Tour Eiffel.""",A1
"""Tu peux assister à des cours de danse, de hockey, et de gym.""",A1
"""La salle internet est la deuxième salle après les toilettes, à gauche.""",A1
"""Continuer tout droit : vous êtes sur le cours Mirabeau, l’avenue principale de la ville d’Aix-en-Provence avec ses 4 magnifiques fontaines.""",A1
"""On va manger dans le jardin.""",A1
"""Serge, Papa est en voyage jusqu’à demain.""",A1
"""Coucou mes amis, je réunis tous ceux que j’aime bien pour fêter l’arrivée de l’été le 21 juin""",A1
"""Je propose que tout le monde apporte quelque chose à manger.""",A1
"""Prends un pot de yaourt en verre.""",A1
"""j’espère vous avoir près de moi pour une jolie fête.""",A1
"""Son bureau est entre la bibliothèque et la salle de dessin.""",A1
"""À bientôt.""",A1
"""Salut, moi c’est Laura.""",A1
"""Bises.""",A1
"""Je t’invite à une fête chez moi, dimanche 24 juin à 14h30.""",A1
"""Tu aimes mon nouveau pull bleu?""",A1
"""On va se déguiser, se maquiller, danser et chanter.""",A1
"""Salut!""",A1
"""L’inscription est gratuite et ouverte du 2 au 24 février.""",A1
"""Vous devez habiter dans le centre de Limoges ou avoir une voiture.""",A1
"""Le club de football de Briançon recherche un joueur (15-17 ans) du 1er septembre au 30 février.""",A1
"""J’attends votre réponse.""",A1
"""Mets la bougie dans le pot.""",A1
"""À partir de la gare routière, prendre l’avenue des Belges, puis tourner à gauche au cinéma Le Renoir.""",A1
"""Tournez à gauche.""",A1
"""Que faire à Paris ?""",A1
"""À dimanche!""",A1
"""On va manger des glaces et des bonbons.""",A1
"""Vous pouvez vous arrêter pour prendre le petit déjeuner au café Les 2 garçons situé au numéro 53 du cours Mirabeau.""",A1
"""Réservez vos billets dans le bureau 127 de l’université du lundi au vendredi (10 h - 18 h).""",A1
"""Bonjour, c’est mon dernier jour dans cette école.""",A1
"""Le docteur offre un travail pour combien de temps ?""",A1
"""C’est facile !""",A1
"""Toi, tu peux apporter un jus de fruits.""",A1
"""Laurence attend votre inscription.""",A1
"""Expérience avec les enfants souhaitée.""",A1
"""Le cours Mirabeau est connu pour ses nombreux cafés.""",A1
"""N’oublie pas de venir avec des chaussures de sport.""",A1
"""Le bleu, c’est ma couleur préférée mais je n’aime pas le vert!""",A1
"""Et après, on peut prendre un bain dans la piscine, l’eau est bonne !""",A1
"""Découpe les feuilles de papier: fais des ronds, des carrés.""",A1
"""Des réponses aux questions que l’on se pose sur soi et sur les autres.""",A2
"""Alors, comment se passe ton installation dans ton nouveau poste ?""",A2
"""Ensuite, salez et poivrez les escalopes.""",A2
"""Utile dans la vie privée et professionnelle, quel est l’ordinateur portable idéal ?""",A2
"""Je t’écris pour te dire que je vais partir cet été en Corse avec ma famille.""",A2
"""La seule personne qui le comprenne vraiment, c'est son grand-père, avec lequel il passe de longues heures à bricoler dans la petite maison du jardin.""",A2
"""Dirigez-vous avec calme vers la sortie.""",A2
"""Vous les trouverez sur les sites les plus fréquentés de la ville : Bastille, Champs Elysées, Notre-Dame, Hôtel de Ville, Aéroport Roissy Charles de Gaulle, Paris Plage, Place Colette et Pigalle.""",A2
"""Ce désodorisant rafraîchit et parfume agréablement votre maison.""",A2
"""Pour rappel, les chèques ne sont pas acceptés.""",A2
"""Souvent, des passants nous demandent où est située la ferme.""",A2
"""En premier, battez les œufs.""",A2
"""J’ai vu Christine et elle m’a dit que tout va bien pour toi.""",A2
"""Les Parisiens sauront maintenant où aller acheter leur pain !""",A2
"""À bientôt!""",A2
"""Le meilleur de l’actualité cinéma, musique, livres et jeux.""",A2
"""Une vingtaine de célébrités sont enfermées dans une ferme pour y travailler.""",A2
"""Visitez le site Internet du magazine.""",A2
"""D’abord, ils ont jugé la qualité du service, la présentation et la décoration des boutiques.""",A2
"""À très bientôt.""",A2
"""Les températures en ce moment à Paris sont comprises entre 20 et 24 degrés.""",A2
"""Lis un livre pour être plus calme.""",A2
"""Après une première sélection des CV, nous contactons le candidat au téléphone pour connaître ses motivations.""",A2
"""Comment les reconnaître?""",A2
"""Arrêtez toute activité.""",A2
"""Écris-moi pour me raconter ce que tu fais, comment sont tes nouveaux collègues et comment ça va avec ton chef.""",A2
"""C’est dans ce village de 1638 habitants que sont implantés les locaux de la nouvelle émission de téléréalité.""",A2
"""Vous recevrez sans obligation d’achat notre catalogue de voyages à des prix sans concurrence.""",A2
"""Il n’y a pas de formation idéale, mais il faut au minimum avoir un diplôme Bac + 2.""",A2
"""Raphaël, aide-soignant, espérait que La ferme donnerait une meilleure image de Visan.""",A2
"""Du 17 au 18 mars, découvrez les sciences avec de jeunes Québécois !""",A2
"""La compétition « Expo-sciences » permet à des jeunes âgés de 15 à 20 ans de présenter pendant deux jours aux visiteurs un projet scientifique qui les passionne.""",A2
"""Puis, du 8 au 17 juin, vous allez visiter la capitale de notre pays accompagnés de notre guide, Hervé, qui va vous faire découvrir les musées, les rues, les boutiques mais aussi les restaurants de Paris.""",A2
"""Nous visitons aussi beaucoup les réseaux sociaux d’Internet.""",A2
"""Pourtant, lorsque Grégoire est renvoyé du collège, le vieil homme se fâche.""",A2
"""Le soir, ne regarde pas la télévision et ne joue pas sur l’ordinateur avant de te coucher.""",A2
"""Alors, lisez ce message !""",A2
"""Ajouter un peu de cannelle.""",A2
"""Servez avec des quartiers de citron.""",A2
"""Une histoire très touchante, servie par la plume d'Anna Gavalda qui n'a pas son pareil pour dire simplement les émotions et les sentiments les plus forts.""",A2
"""Pour cela, vous pouvez utiliser le moyen de paiement que vous désirez (chèque, liquide, carte bancaire).""",A2
"""Quand il commence à grésiller, mettez-y les escalopes à feu doux pendant 12 minutes.""",A2
"""La Corse est une petite île au sud de la France, dans la mer Méditerranée.""",A2
"""En troisième, chauffez le beurre dans une grande poêle.""",A2
"""Passez-les dans la farine, puis dans l’œuf battu et enfin dans la chapelure.""",A2
"""Les deux auteurs du guide classement 2005 des boulangeries de Paris ont élu les meilleures boulangeries de la capitale.""",A2
"""Attention : le caramel doit être déjà froid.""",A2
"""Je vais lui offrir un livre que j’aime beaucoup : «Kurt et le poisson», tu connais?""",A2
"""Au village, il y a les pour et les contre. Mais les enthousiastes sont les plus nombreux.""",A2
"""Éteignez la machine et nettoyez-la à l’eau chaude.""",A2
"""La mer des Caraïbes, les plages du Pacifique Sud et les mythiques îles de la Méditerranée vous attendent !""",A2
"""À votre arrivée, le 7 juin prochain, nous allons vous accueillir à l’aéroport pour vous conduire à votre hôtel.""",A2
"""Les vacances approchent et j’aimerais bien te voir !""",A2
"""Si des douleurs apparaissent, consulter un spécialiste et lui montrer l’étiquette du produit.""",A2
"""Où retrouver les Ambassadeurs de l'accueil?""",A2
"""Fermez les fenêtres et les portes.""",A2
"""Utiliser seulement dans des zones bien ventilées.""",A2
"""Un roman émouvant, où il est question d'apprendre à vivre, de trouver sa place parmi les autres.""",A2
"""Ne pas respirer les aérosols.""",A2
"""Jeudi, on va au restaurant pour l’anniversaire de ma sœur.""",A2
"""Pour ne pas être malade, lave-toi souvent les mains et ne bois pas dans le verre d’un autre enfant.""",A2
"""Tous les prix sont affichés, mais si besoin, j’ai mis la liste des prix à côté de la caisse.""",A2
"""D’autres sont plus critiques.""",A2
"""Vaporiser vers le haut pendant 2 à 3 secondes.""",A2
"""Au total, des prix d’une valeur de 20 000 $ sont à gagner !""",A2
"""Ouvert du mardi au samedi, d’avril à septembre.""",A2
"""Et toi, ça va ?""",A2
"""Merci de me remplacer pour servir les clients au magasin.""",A2
"""Pas un villageois n’y échappe.""",A2
"""Voici quelques conseils pour t’aider.""",A2
"""Nous recherchons des personnes qui veulent progresser et travailler en équipe.""",A2
"""Respectez l’interdiction de revenir sur ses pas.""",A2
"""Conserver loin d’une source de chaleur.""",A2
"""Chaque année au mois de mars, pour fêter l’arrivée du printemps, toutes les classes de l’école préparent des activités.""",A2
"""Surtout éviter d'y penser.""",A2
"""Vous pouvez payer moins cher votre assurance auto : payez au kilomètre !""",A2
"""Rejoignez très rapidement le point de rassemblement indiqué sur le plan d’évacuation.""",A2
"""Ils seront présents chaque jour de 10h à 19h pour distribuer guides et plans de la ville, suggérer des balades insolites ou traditionnelles.""",A2
"""Ils adoraient tous les deux la montagne.""",A2
"""Vous aimez l’aventure ?""",A2
"""Mixez 4 minutes 30 maximum, sinon la glace devient trop dure.""",A2
"""Enregistrez-vous immédiatement et participez à notre grand tirage au sort de la croisière de vos rêves.""",A2
"""Il ne reste donc plus qu’à attendre.""",A2
"""N’hésitez plus et prenez contact avec nous, vous allez vivre l’expérience la plus inoubliable de votre vie.""",A2
"""Tu es fatigué en hiver?""",A2
"""Cérémonie de remise de prix le dimanche à 14h30.""",A2
"""Dans chaque numéro, Okapi ouvre des espaces de discussion où garçons et filles échangent et se confient.""",A2
"""Appuyez sur le bouton « Marche », en bas à droite de la machine.""",A2
"""Ensuite, ils ont goûté la baguette et le croissant au beurre.""",A2
"""Certains bénéficient déjà de retombées économiques, comme Géraldine, la boulangère.""",A2
"""Suivez nos conseils !""",A2
"""Sans oublier les incontournables rendez-vous BD, les jeux et les concours!""",A2
"""Dimanche 18 mars, de 9h30 à 12h et de 13h à 14h15.""",A2
"""Cette année, le soixante-cinquième Festival de Cannes, qui va avoir lieu du 16 au 27 juin, est différent avec de nombreux films sud-américains et asiatiques.""",A2
"""Ajoutez des morceaux de fraises, bananes, oranges, etc.""",A2
"""Au café, le patron allume la télé à l’heure de l’émission : Les clients la regardent, chacun y va de son commentaire.""",A2
"""Précisez également votre identité, votre fonction et le service pour lequel vous travaillez.""",A2
"""Si tu veux tu peux aussi m’appeler ; je suis chez moi vers 20 h 30.""",A2
"""Couper les pommes en petits morceaux et les mettre sur le caramel""",A2
"""Après avoir visité une sélection de 200 boulangeries, les auteurs ont fait un classement.""",A2
"""Réponds-moi vite et fais ta réservation pour venir.""",A2
"""Un climat délicieux.""",A2
"""Ce lieu peut plaire aux personnes de 2 à 100 ans !""",A2
"""La tarte Tatin est délicieuse tiède, accompagnée d’une boule de glace à la vanille ou encore d’une cuillère de crème.""",A2
"""Pour moi, tout va bien.""",A2
"""Nous partons le 2 juillet en bateau, après les examens de mon frère et nous rentrons en France le 30 juillet.""",A2
"""Pour profiter de cette offre, contactez au plus vite votre conseiller Assurancetourisc.""",A2
"""S’il pleut, allez visiter le musée Carnavalet sur l’Histoire de Paris et finissez la journée avec une pièce de théâtre à la Comédie-Française.""",A2
"""Un choix difficile mais important : le public français écoute souvent les professionnels de Cannes pour choisir le film qu’il va aller voir au cinéma.""",A2
"""Avec l’argent, notre professeur va acheter de la peinture et des crayons pour le cours de dessin.""",A2
"""Tu veux venir avec moi demain soir au concert du chanteur M ?""",A2
"""Madame, Monsieur, Vous devez acheter des titres de transports (métro, bus, tramway, train) dans le cadre de vos déplacements professionnels.""",A2
"""Des passants parfois envahissants : 400 voitures ont débarqué le lundi de Pâques.""",A2
"""Il y a eu beaucoup de spectateurs et tout le monde a bien aimé la Fête.""",A2
"""Restez solidaires des autres personnes et portez assistance aux personnes handicapées.""",A2
"""On a envie de savoir, de comprendre et de se détendre.""",A2
"""Vous avez une voiture mais vous l'utilisez peu ?""",A2
"""Rien ne vaut un bon livre !""",A2
"""Versez la préparation dans la machine.""",A2
"""Mais c’est tout.""",A2
"""Étaler la pâte au rouleau à pâtisserie et la mettre sur les pommes.""",A2
"""Grégoire est nul à l'école, tellement nul qu'à treize ans il est toujours en sixième.""",A2
"""Bien agiter avant l’emploi.""",A2
"""En cas de projection dans les yeux, rincer immédiatement et abondamment à l’eau.""",A2
"""Bref : réfléchir à l’utilisation que vous allez en avoir et non pas en fonction du prix, même mini !""",A2
"""Faire fondre le beurre et le sucre pour former du caramel.""",A2
"""Si seulement 10 % des téléspectateurs retiennent que les célébrités boivent du vin de chez nous, on aura réussi.""",A2
"""Deux jeunes en formation à l’université de Brest ont aidé Jean à réunir les 10 000 € nécessaires à la réalisation du projet.""",A2
